Title | Year | RQ1_Datasets | RQ1_Image_Count | RQ1_Class_Balance | RQ2_Preprocessing | RQ2_Augmentation | RQ3_RQ4_Seg_Scope | RQ5_RQ6_Class_Scope | RQ7_Model_Architecture | RQ7_Novelty | RQ7_Transfer_Learning | RQ8_Metrics_Used | RQ8_Best_Result | RQ8_SOTA_Compare | RQ9_Limitations | RQ10_Future_Work
MixFormer: A Mixed CNN-Transformer Backbone for Medical Image Segmentation  | 2024  | ISIC 2018, Synapse, ACDC, Kvasir-SEG, CVC-ClinicDB  | ISIC 2018: 2596 (Training)  | No (Augmentation used)  | Resize (224x224)  | Gaussian blur, Color dithering, Horizontal/Vertical Flip, Affine transformations (Rotation, Translation, Scaling, Shear)  | Lesion Boundary  | N/A  | MixFormer (Res2Net50 + Swin Transformer + MSAF + MMDA)  | New Architecture (Hybrid CNN-Transformer)  | Yes [Res2Net50, Swin Transformer]  | DSC, HD, mIoU, Accuracy, Precision, Recall, F1, MAE  | ISIC 2018: mIoU 0.841, F1 0.913  | Yes  | High parameter count and FLOPs; inputs restricted to 2D (ignoring 3D inter-slice correlations)  | Develop 3D segmentation network; optimize model to reduce parameters/FLOPs; explore end-to-end pretraining  | 10
SwinPA-Net: Swin Transformer-Based Multiscale Feature Pyramid Aggregation Network for Medical Image Segmentation  | 2022  | ISIC 2018, Polyp datasets (Kvasir, CVC-ClinicDB, CVC-ColonDB, EndoScene, ETIS), LIVis (Private)  | ISIC 2018: 2594; Polyp: 2248; LIVis: 1180  | Imbalanced (Addressed via combined Dice and BCE loss)  | Resize (384x384)  | Random flips, Random shifts  | Lesion Boundary  | Binary (Lesion vs. Background)  | SwinPA-Net (Swin Transformer Encoder + DMC + LPA + CNN Decoder)  | New Architecture (Dense Multiplicative Connection & Local Pyramid Attention)  | Yes [Swin-B] | mDice, mIoU, Recall, MAE  | ISIC 2018: mDice 0.911, mIoU 0.854  | Yes  | Many parameters; requires high-precision annotated images  | Develop lightweight unsupervised segmentation methods; intraoperative real-time application  | 10
U-NET V2: RETHINKING THE SKIP CONNECTIONS OF U-NET FOR MEDICAL IMAGE SEGMENTATION  | 2025  | ISIC 2017, ISIC 2018, Kvasir-SEG, ClinicDB, ColonDB, Endoscene, ETIS  | ISIC 2017: 2050, ISIC 2018: 2694  | No  | Resize (256x256)  | None reported  | Lesion Boundary  | N/A (Segmentation)  | U-Net v2 (PVT Encoder + SDI Module)  | New Architecture (Semantics and Detail Infusion)  | Yes [PVT]  | DSC, IoU, MAE, FLOPs, FPS  | ISIC 2018: DSC 91.52%, IoU 84.15%  | Yes  | None explicitly reported (Efficiency demonstrated)  | None explicitly reported  | 10
XBound-Former: Toward Cross-Scale Boundary Modeling in Transformers  | 2023  | ISIC-2016, PH2, ISIC-2018, Polyp-seg (Kvasir-SEG, ClinicDB, ColonDB, Endoscene, ETIS)  | ISIC-2016: 1279; PH2: 200; ISIC-2018: 2594; Polyp: >3000  | No (Cross-validation used for ISIC-2018)  | Resize (512x512)  | Vertical Flip, Horizontal Flip, Random Scale (0.9-1.1)  | Lesion Boundary  | N/A (Segmentation)  | XBound-Former (PVTv2 + im-Bound + ex-Bound + X-Bound)  | New Architecture (Cross-Scale Boundary-Aware Transformer)  | Yes [PVTv2]  | Dice, IoU, ASSD, HD95  | ISIC-2016: IoU 87.69%, Dice 93.08%  | Yes  | Fails on extremely low-contrast lesions; false boundary key-point detection can harm segmentation  | Fuse deep learning with low-level feature extractors; use separate models for boundary branches  | 10
A Geometric algebra-enhanced network for skin lesion detection with diagnostic prior  | 2025  | ISIC2020, ISIC Archive  | 37,648 (33,126 ISIC2020 + 4,522 ISIC Archive)  | Imbalanced (Addressed via distinct augmentation rates for classes)  | Resize (224x224)  | Horizontal/Vertical Flip, Scaling, Rotation, Central Crop, Shift, Shear (Skin Area Focus Module)  | N/A  | Binary (Melanoma vs. Non-melanoma)  | GRNet50 (Geometric Algebra ResNet) + Anomaly Feature Attention Module (AFAM)  | New Architecture (Geometric Algebra based)  | No  | Accuracy, Sensitivity, Specificity, AUC, F1-score  | Accuracy: 98.5%  | Yes  | Challenges with class imbalance; potential for false negatives/positives; generalization across diverse clinical settings  | Incorporate metadata; multi-class classification; apply to 3D imaging; optimize for lightweight/mobile devices  | 10
A novel approach for human diseases prediction using nature inspired computing & machine learning approach  | 2024  | UCI Machine Learning Repository (Labeled "Skin Cancer" but features match Breast Cancer WDBC); Private Diabetic Retinopathy Dataset  | Skin Cancer: 569 records (Features); Diabetic Retinopathy: 521 images  | Diabetic Retinopathy: Imbalanced (299 Healthy, 222 Infected)  | CLAHE (Contrast Limited Adaptive Histogram Equalization) for DR images  | None reported | N/A | Binary (Healthy vs. Infected/Disease)  | SVM, Random Forest, Naive Bayes, Decision Tree, Ensemble (Voting)  | Feature Selection (Ant-Lion Optimizer)  | No | Accuracy, F1-Score, Matthews Correlation Coefficient (MCC), Kappa Score, AUC  | Skin Cancer: Accuracy 97.18% (Ensemble); Diabetic Retinopathy: Accuracy 98.52% (Decision Tree)  | Yes | Manual feature extraction dependence; limited dataset sizes  | Apply to glaucoma detection; develop mobile application for symptom assessment  | 2
A Novel framework of Adaptive fuzzy-GLCM Segmentation and Fuzzy with Capsules Network (F-CapsNet) Classification  | 2023  | ISBI 2017, ISIC 2019, PH2  | 20,250 (ISBI 2017: 2750, ISIC 2019: 17,300, PH2: 200)  | Balanced (Mentioned "including balance data")  | Vignette/Dark Frame Removal (Cropping), Resizing (255x255), Hair Removal (Black-hat transform, thresholding, inpainting), Ink Marker Removal (HSV segmentation, inpainting), Contrast Stretching, Log Transformation  | None reported  | Lesion Boundary  | Binary (Melanoma vs. Non-Melanoma)  | F-CapsNet (Fuzzy-based Capsule Network)  | New Architecture (Fuzzy Logic + CapsNet)  | No  | Accuracy, Sensitivity, Specificity, AUC, Jaccard, Dice, Execution Time  | Accuracy: 99.45% (ISIC 2019)  | Yes  | None reported  | None reported  | 10
A survey on computer vision approaches for automated classification of skin diseases | 2025 | Dermnet, PH2, ISIC Archive (2020), HAM10000 | Dermnet: 19,500; PH2: 200; ISIC 2020: 33,126; HAM10000: 10,015 | Imbalanced (Identified as a major challenge) | Color Normalization (ACE, LAB), Contrast Enhancement (AHE), Denoising (Gaussian, Median, Wavelet), Artifact Removal (Hexa-GAN) | GAN-based (Hexa-GAN, DermGAN, STGAN) | Lesion Boundary | Both (Binary: Melanoma vs. Benign; Multi-class: Psoriasis, Eczema, Acne, Rosacea, etc.) | Review of CNNs (AlexNet, VGG, DenseNet, EfficientNet, ResNet), Hybrid Models (CNN+SVM, CNN+BiLSTM) | N/A (Survey Paper) | Yes [Review of methods using Transfer Learning] | Accuracy, Sensitivity, Specificity, Dice Coefficient (DC), Jaccard Index (JI), Precision, Recall, F1 score | N/A (Survey of multiple studies) | Yes | Image variability; data annotation subjectivity; class imbalance; lack of model interpretability (black box); domain adaptation issues | Develop bio-inspired color normalization; automated annotation; novel loss functions for imbalance; explainable AI (XAI); domain adaptation techniques | 10
Automatic skin lesion segmentation using attention residual U-Net with improved encoder-decoder architecture  | 2025  | PH2, ISIC 2016, ISIC 2017, ISIC 2018  | PH2: 200; ISIC 2016: 1279; ISIC 2017: 2750; ISIC 2018: 3694  | N/A (Segmentation only) | Resize (256x256)  | Flipping, Height Shift, Width Shift, Rotation, Shear  | Lesion Boundary  | N/A (Segmentation only) | ARU-Net-MD (Attention Residual U-Net + Modified Decoder)  | New Architecture  | No  | Accuracy, Dice, Jaccard, Sensitivity, Specificity  | Accuracy: 97.05% (ISIC 2016)  | Yes  | Challenges segmenting lesions resembling normal skin; higher computational intensity during training compared to U-Net  | Reduce computational complexity; develop unified model for various medical segmentation tasks; extend to classification  | 10
Deep Bayesian Active Learning with Image Data  | 2017  | ISIC 2016 (Part 3B)  | 900  | Imbalanced (727 Benign, 173 Malignant)  | None reported  | Vertical/Horizontal Flipping (positive examples)  | N/A  | Binary (Malignant vs. Benign)  | VGG16 (Bayesian CNN)  | Deep Bayesian Active Learning Framework  | Yes [ImageNet]  | AUC  | AUC: ~0.76 (Active Learning with BALD)  | Yes  | Prolonged training times due to model resetting; Variation Ratios acquisition function failed on this dataset  | Reduce computational cost by updating model without resetting; avoid local optima  | 9
Deep ensemble model for skin cancer classification with improved feature set  | 2025  | PH2, ISIC 2018  | PH2: 200 (80 common nevi, 80 atypical nevi, 40 melanomas)  | Imbalanced  | Gaussian Filtering  | None reported  | Lesion Boundary  | Multi-class (PH2: Common nevi, Atypical nevi, Melanoma)  | Deep Ensemble (Bi-GRU + Deep Maxout + Improved Deep CNN) optimized by HAAOA  | Ensemble + New Optimization Algorithm (HAAOA)  | No  | Accuracy, Sensitivity, Specificity, Precision, F-measure, MCC, FNR, FPR, NPV  | Accuracy: 97.22% (PH2)  | Yes  | Small dataset size  | Efficient feature discrimination networks; Test on larger datasets; Cross-platform applications  | 10
Dermo classify: A dermatologist skin disease detection and classification using DCNN  | 2025  | HAM10000  | 10,015 (Reduced to ~8,974 after removing similar images)  | Imbalanced (Addressed via Data Augmentation)  | Resize (125x125), Rescaling (1/255)  | Rotation, Width/Height Shift, Shear, Zoom, Horizontal Flip  | N/A  | Multi-class (7 classes: NV, MEL, BKL, BCC, AKIEC, VASC, DF)  | CNN, ResNet, Xception  | Standard (Comparative Analysis)  | Yes [ImageNet]  | Accuracy, Loss, F1-Score  | Accuracy: 98.37% (CNN)  | Yes  | Model prone to overfitting due to complexity and small dataset; system lacks disease-related info/precautions  | Provide specific disease-related information and user precautions  | 5
Diagnosis of skin cancer using VGG16 and VGG19 based transfer learning models  | 2024  | ISIC 2020, MED-NODE  | 2541 (1200 Melanoma, 1341 Benign)  | Balanced (Random Undersampling)  | Resize (224x224)  | None  | N/A  | Binary (Melanoma vs. Benign)  | Modified AlexNet fused with VGG16/VGG19 (Dual Transfer Learning)  | Dual Transfer Learning (Retraining initial and final layers)  | Yes [VGG16, VGG19, AlexNet]  | Accuracy, Sensitivity, Specificity  | Accuracy: 98.18%  | Yes  | Potential for overfitting in complex datasets; challenges associated with domain shifts  | Explore impact of different pre-trained architectures; investigate varying degrees of fine-tuning  | 10
DU-Net+: a fully convolutional neural network architecture for semantic segmentation of skin lesions | 2025 | ISIC 2018 | 2594 | N/A (Segmentation task) | Resize (192x256) | None reported | Lesion Boundary | N/A | DU-Net+ (Double U-Net with VGG19 Encoder, ASPP, Attention Gates) | New Architecture | Yes [VGG19] | Dice Coefficient, Jaccard Index, Accuracy, Precision, Recall, Specificity | Dice: 0.9234, Jaccard: 0.8465 | Yes | Computational complexity of the double U-Net structure | Optimize for real-time applications; extend to 3D medical imaging tasks | 10
Enhanced Skin Cancer Diagnosis via Deep Convolutional Neural Networks with Ensemble Learning  | 2025  | HAM10000  | 10,015  | No (Imbalanced)  | Resize (299x299)  | Minimal (Keras ImageDataGenerator)  | N/A  | Multi-class (Melanocytic Nevi, Melanoma, Benign Keratosis, Actinic Keratosis, Vascular Lesions, Dermatofibroma, Basal Cell Carcinoma)  | ResNet50, InceptionV3, VGG16, Ensemble (ResNet50+InceptionV3)  | Ensemble Learning  | Yes [Pre-trained]  | Accuracy, Precision, Recall, F1-score  | Accuracy: 94.17% (InceptionV3 + ResNet50)  | Yes  | High architectural complexity and prolonged training times for ensemble methods  | Integrate clinical images with dermoscopy images; utilize saliency object or feature detection  | 9
Facial thermal imaging: A systematic review with guidelines and measurement uncertainty estimation | 2025 | N/A (Review of 315 papers on thermal imaging protocols) | N/A | N/A | N/A (Focus on physical measurement parameters like emissivity, distance, acclimatization) | N/A | N/A | N/A | N/A | N/A | N/A | Measurement Uncertainty ($^\circ C$) | Uncertainty threshold of 0.3$^\circ$C | N/A | Lack of standardized protocols resulting in unreliable measurements | Adoption of proposed guidelines for accurate facial thermography | 0
Intelligent fusion-assisted skin lesion localization and classification for smart healthcare  | 2024  | ISBI2016, ISIC2017, ISBI2018, ISIC2019, HAM10000  | ISBI2016: 900+379; ISIC2017: 2000+150+600; ISBI2018: 2594; HAM10000: 10015; ISIC2019: 25331 (Used a subset)  | Not reported | Contrast enhancement (Top-hat and Bottom-hat filtering), Resizing (256x256)  | None reported | Lesion Boundary  | Multi-class (HAM10000: 7 classes, ISIC2019: 8 classes)  | Fusion Framework (20-Layer CNN + 17-Layer CNN for segmentation; 30-Layer CNN for classification)  | New Architecture (Fusion of custom CNNs & Summation Discriminant Correlation Analysis)  | No (Trained from scratch)  | Accuracy, False Negative Rate (FNR), Sensitivity, Computational Time  | Classification Accuracy: 87.02% (HAM10000), 94.6% (ISIC2018), 91.3% (ISIC2019); Segmentation Accuracy: ~92.7%  | Yes  | Increased feature dimensionality after fusion process  | Feature selection and dimensionality reduction approaches  | 10
Multiclass skin lesion classification in dermoscopic images using swin transformer model  | 2023  | ISIC 2019  | 25,331  | Imbalanced (Addressed via Weighted Cross Entropy Loss with inverse class frequency weighting)  | Resize (224x224), Normalization  | Random Horizontal/Vertical Flips, Color Jitter (Brightness, Contrast, Saturation)  | N/A  | Multi-class (AK, BCC, BKL, DF, MEL, NV, SCC, VASC)  | Swin Transformer (Swin-L)  | Application of Swin Transformer to skin lesion classification  | Yes [ImageNet-22K]  | Sensitivity, Specificity, Accuracy, Balanced Accuracy  | Balanced Accuracy: 82.3%, Accuracy: 97.2%  | Yes  | Absence of preprocessing/postprocessing stages; lower sensitivity for minority classes (e.g., DF)  | Integrate preprocessing and postprocessing stages; explore specific transformer-based models  | 10
Multi-feature Fusion Deep Network for Skin Disease Diagnosis | 2024 | Skin_disease_v1 (Private), HAM10000 | Skin_disease_v1: 609; HAM10000: 10,015 | Imbalanced (HAM10000) | Resizing (224x224), Normalization | Rotation, Width/Height Shift, Shear, Zoom, Horizontal/Vertical Flip | Lesion Boundary | Multi-class (Skin_disease_v1: 4 classes; HAM10000: 7 classes) | Fully Fused Network (FFN) (ISB + IFB with MobileNetV2, ResNet50, DenseNet121, Xception) | New Architecture (ISB for segmentation, IFB for feature fusion) | Yes [MobileNetV2, ResNet50, DenseNet121, Xception] | Accuracy, Precision, Recall, F1-score | HAM10000: Accuracy 97.6%; Skin_disease_v1: Accuracy 98.49% | Yes | Limited size of the proprietary dataset (Skin_disease_v1) | Expand dataset with more images; explore other DL architectures | 10
Optimize brain tumor multiclass classification with manta ray foraging and improved residual block techniques | 2025 | Brain Tumor MRI Dataset (Irrelevant to Skin Lesions) | N/A (Brain Tumor Study) | N/A | N/A | N/A | N/A | N/A | CNN + Manta Ray Foraging Optimizer (MRFO) + Improved Residual Blocks | New Optimization/Architecture Integration | N/A | N/A | N/A | N/A | N/A | N/A | 0
Skin Cancer Classification Using Deep Spiking Neural Network  | 2023  | ISIC 2019  | 6,993 (3670 Melanoma, 3323 Non-Melanoma)  | Balanced (Subset selection to address imbalance)  | Poisson encoding (Conversion to spikes)  | None reported | N/A | Binary (Melanoma vs. Non-Melanoma)  | Spiking VGG-13 (Integrate and Fire neurons)  | Application of Deep Spiking Neural Network with Surrogate Gradient Descent  | No  | Accuracy, F1 score, Sensitivity, Specificity, Precision  | Accuracy: 89.57%, F1 score: 90.07%  | Yes  | Challenging visualization of deep spiking neural networks  | None reported | 8
